date,league,home_team,away_team,home_goals,away_goals,status,season
2024-07-18T00:30:00Z,BSA,Botafogo FR,SE Palmeiras,1,0,FINISHED,2024
2024-07-18T00:30:00Z,BSA,Fortaleza EC,EC Vitória,3,1,FINISHED,2024
2024-07-20T19:00:00Z,BSA,CR Flamengo,Criciúma EC,2,1,FINISHED,2024
2024-07-20T21:30:00Z,BSA,Botafogo FR,SC Internacional,1,0,FINISHED,2024
2024-07-21T00:00:00Z,BSA,SE Palmeiras,Cruzeiro EC,2,0,FINISHED,2024
2024-07-21T14:00:00Z,BSA,Grêmio FBPA,EC Vitória,2,0,FINISHED,2024
2024-07-21T19:00:00Z,BSA,CA Mineiro,CR Vasco da Gama,2,0,FINISHED,2024
2024-07-21T19:00:00Z,BSA,EC Bahia,SC Corinthians Paulista,0,1,FINISHED,2024
2024-07-21T21:30:00Z,BSA,RB Bragantino,CA Paranaense,1,0,FINISHED,2024
2024-07-21T21:30:00Z,BSA,Fortaleza EC,AC Goianiense,3,1,FINISHED,2024
2024-07-21T21:30:00Z,BSA,EC Juventude,São Paulo FC,0,0,FINISHED,2024
2024-07-21T23:00:00Z,BSA,Cuiabá EC,Fluminense FC,0,1,FINISHED,2024
2024-07-24T22:00:00Z,BSA,Cruzeiro EC,EC Juventude,2,0,FINISHED,2024
2024-07-24T22:00:00Z,BSA,Criciúma EC,Fortaleza EC,1,1,FINISHED,2024
2024-07-24T22:30:00Z,BSA,São Paulo FC,Botafogo FR,2,2,FINISHED,2024
2024-07-24T23:00:00Z,BSA,EC Vitória,CR Flamengo,1,2,FINISHED,2024
2024-07-25T00:30:00Z,BSA,AC Goianiense,EC Bahia,1,1,FINISHED,2024
2024-07-25T00:30:00Z,BSA,Fluminense FC,SE Palmeiras,1,0,FINISHED,2024
2024-07-25T23:00:00Z,BSA,SC Corinthians Paulista,Grêmio FBPA,2,2,FINISHED,2024
2024-07-27T22:00:00Z,BSA,EC Juventude,Criciúma EC,1,2,FINISHED,2024
2024-07-27T22:00:00Z,BSA,SE Palmeiras,EC Vitória,0,2,FINISHED,2024
2024-07-27T23:00:00Z,BSA,EC Bahia,SC Internacional,1,1,FINISHED,2024
2024-07-28T00:30:00Z,BSA,Botafogo FR,Cruzeiro EC,0,3,FINISHED,2024
2024-07-28T00:30:00Z,BSA,Fortaleza EC,São Paulo FC,1,0,FINISHED,2024
2024-07-28T14:00:00Z,BSA,RB Bragantino,Fluminense FC,0,1,FINISHED,2024
2024-07-28T19:00:00Z,BSA,CR Flamengo,AC Goianiense,2,0,FINISHED,2024
2024-07-28T22:00:00Z,BSA,CA Mineiro,SC Corinthians Paulista,2,1,FINISHED,2024
2024-07-28T22:00:00Z,BSA,Cuiabá EC,CA Paranaense,1,2,FINISHED,2024
2024-07-28T22:00:00Z,BSA,Grêmio FBPA,CR Vasco da Gama,1,0,FINISHED,2024
2024-08-03T19:00:00Z,BSA,EC Vitória,Cuiabá EC,1,0,FINISHED,2024
2024-08-03T22:00:00Z,BSA,CR Vasco da Gama,RB Bragantino,2,2,FINISHED,2024
2024-08-03T23:00:00Z,BSA,AC Goianiense,Botafogo FR,1,4,FINISHED,2024
2024-08-03T23:00:00Z,BSA,Criciúma EC,CA Mineiro,2,1,FINISHED,2024
2024-08-04T00:30:00Z,BSA,São Paulo FC,CR Flamengo,1,0,FINISHED,2024
2024-08-04T19:00:00Z,BSA,CA Paranaense,Grêmio FBPA,0,2,FINISHED,2024
2024-08-04T19:00:00Z,BSA,SC Corinthians Paulista,EC Juventude,1,1,FINISHED,2024
2024-08-04T19:00:00Z,BSA,Fluminense FC,EC Bahia,1,0,FINISHED,2024
2024-08-04T20:00:00Z,BSA,SC Internacional,SE Palmeiras,1,1,FINISHED,2024
2024-08-06T00:00:00Z,BSA,Cruzeiro EC,Fortaleza EC,1,2,FINISHED,2024
2024-08-10T19:00:00Z,BSA,Fortaleza EC,Criciúma EC,1,0,FINISHED,2024
2024-08-10T22:00:00Z,BSA,Cuiabá EC,Grêmio FBPA,1,3,FINISHED,2024
2024-08-11T00:30:00Z,BSA,SC Corinthians Paulista,RB Bragantino,1,1,FINISHED,2024
